p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
QSM_Right_putamen	21001_irnt	0.068	0.0243	2.7989	0.0051	0.2465	0.0089	1.0641	0.0187	0.0017	0.007
volume	1160	0.0097	0.0979	0.0987	0.9214	0.0716	0.0033	1.0145	0.0094	-0.0017	0.0062
QSM_Right_SN	100270	-0.0287	0.0788	-0.3635	0.7162	0.0537	0.0103	0.998	0.0067	0.0046	0.0052
QSM_Left_pallidum	30780_irnt	-0.0549	0.0395	-1.3916	0.164	0.0801	0.0183	1.1608	0.1173	0.0122	0.0069
QSM_Left_amygdala	1160	-0.0627	0.0899	-0.6979	0.4853	0.0716	0.0033	1.0144	0.0094	0.0047	0.0058
QSM_Right_putamen	4080_irnt	-0.0117	0.0297	-0.3953	0.6927	0.1446	0.0058	1.0684	0.0162	0.0112	0.0071
QSM_Right_putamen	2443	0.1103	0.0378	2.9189	0.0035	0.0438	0.0027	1.0419	0.0106	0.0005	0.0052
QSM_WMH	1558	-0.0738	0.0387	-1.9044	0.0569	0.0818	0.0038	1.0404	0.0109	0.0117	0.0054
QSM_Right_caudate	1160	-0.0091	0.0351	-0.258	0.7964	0.0716	0.0033	1.0144	0.0094	-0.0015	0.0053
T2_WMH	30870_irnt	-0.058	0.0415	-1.397	0.1624	0.1746	0.0211	1.1452	0.0629	-0.0117	0.0068
T2_WMH	1239	0.1107	0.0572	1.9357	0.0529	0.0533	0.0029	1.0151	0.0104	-0.008	0.0056
QSM_Left_pallidum	100270	0.0091	0.08	0.1143	0.909	0.0537	0.0103	0.998	0.0067	-0.0003	0.0048
QSM_Left_pallidum	4079_irnt	-0.0117	0.0369	-0.3171	0.7512	0.1338	0.0055	1.0668	0.0154	0.0006	0.0066
lesion	4080_irnt	0.12	0.0665	1.8057	0.071	0.1446	0.0058	1.0686	0.0162	0.0145	0.0063
QSM_WMH	21001_irnt	-0.0226	0.0347	-0.6517	0.5146	0.2465	0.0089	1.0641	0.0187	0.003	0.0068
T2_WMH	30780_irnt	-0.0503	0.0535	-0.9409	0.3468	0.0801	0.0183	1.1608	0.1173	-0.0032	0.007
QSM_Left_pallidum	1160	0.0022	0.0324	0.0671	0.9465	0.0716	0.0033	1.0144	0.0094	-0.0015	0.0049
volume	30870_irnt	-0.0751	0.0747	-1.0042	0.3153	0.1747	0.0212	1.1454	0.063	-0.0034	0.0072
QSM_WMH	4080_irnt	-0.0341	0.0382	-0.8923	0.3722	0.1446	0.0058	1.0684	0.0162	-0.0179	0.0061
QSM_Right_putamen	104910	0.0752	0.1848	0.4068	0.6841	0.0081	0.0089	0.9997	0.0066	-0.0029	0.0047
QSM_Left_putamen	4079_irnt	0.0018	0.0302	0.0593	0.9527	0.1338	0.0055	1.0668	0.0154	0.0094	0.007
lesion	30760_irnt	0.0392	0.0539	0.7277	0.4668	0.1915	0.0161	1.276	0.092	-0.001	0.006
QSM_Right_putamen	6150_3	0.0433	0.0937	0.4617	0.6443	0.004	0.0012	1.0062	0.0062	0.0014	0.0051
QSM_WMH	30780_irnt	-0.0642	0.0412	-1.5594	0.1189	0.0801	0.0183	1.1608	0.1173	0.0065	0.0059
QSM_Right_amygdala	30740_irnt	0.1606	0.0769	2.0882	0.0368	0.0743	0.0095	1.049	0.0192	-0.0013	0.0051
volume	6150_3	0.3907	0.2303	1.6963	0.0898	0.004	0.0012	1.0061	0.0062	-0.0001	0.0043
lesion	30780_irnt	0.1157	0.0906	1.2781	0.2012	0.0801	0.0184	1.1609	0.1171	-0.0046	0.0068
QSM_Left_SN	4079_irnt	-0.0571	0.0324	-1.7606	0.0783	0.1338	0.0055	1.0668	0.0154	0.0089	0.0062
QSM_Right_putamen	1160	-0.0405	0.0313	-1.2943	0.1956	0.0716	0.0033	1.0144	0.0094	0.0062	0.0054
QSM_WMH	30870_irnt	0.0228	0.0434	0.5251	0.5995	0.1746	0.0211	1.1452	0.0629	-0.0014	0.008
QSM_Left_amygdala	21001_irnt	-0.0017	0.0596	-0.029	0.9769	0.2465	0.0089	1.0641	0.0187	-0.0041	0.007
QSM_Left_pallidum	21001_irnt	0.0713	0.0288	2.4742	0.0134	0.2465	0.0089	1.0641	0.0187	0.0139	0.007
QSM_Right_amygdala	1239	-0.0391	0.0914	-0.4271	0.6693	0.0533	0.0029	1.0151	0.0104	0.0026	0.0061
QSM_Left_caudate	30760_irnt	-0.1375	0.0422	-3.2588	0.0011	0.1916	0.0161	1.2754	0.0922	0.0073	0.0072
lesion	30870_irnt	0.0318	0.0872	0.3645	0.7155	0.1747	0.0212	1.1454	0.063	-0.0082	0.0078
QSM_Left_amygdala	1558	-0.0194	0.0717	-0.2705	0.7868	0.0818	0.0038	1.0404	0.0109	-0.0062	0.0055
QSM_Right_caudate	1558	0.0654	0.0375	1.7419	0.0815	0.0818	0.0038	1.0404	0.0109	-0.0156	0.0058
QSM_Right_caudate	6150_4	0.0357	0.0406	0.8782	0.3798	0.1202	0.0051	1.0669	0.0173	-0.0001	0.0069
lesion	100270	-0.012	0.1526	-0.0787	0.9373	0.0538	0.0104	0.9979	0.0067	-0.0007	0.0043
QSM_Left_amygdala	30740_irnt	0.0957	0.0684	1.4002	0.1615	0.0743	0.0095	1.049	0.0192	0.0032	0.0046
QSM_WMH	104910	-0.3054	0.2953	-1.0341	0.3011	0.0081	0.0089	0.9997	0.0066	0.0021	0.0048
QSM_Left_pallidum	30870_irnt	0.0235	0.0281	0.8354	0.4035	0.1746	0.0211	1.1452	0.0629	0.0241	0.0062
QSM_Right_amygdala	1160	-0.0295	0.0677	-0.4352	0.6634	0.0716	0.0033	1.0144	0.0094	0.0101	0.0047
QSM_Left_SN	21001_irnt	0.0925	0.0243	3.8121	0.0001	0.2465	0.0089	1.0641	0.0187	0.0115	0.0065
lesion	6150_4	0.2441	0.0703	3.4735	0.0005	0.1203	0.0051	1.0668	0.0173	0.0007	0.007
QSM_Left_caudate	4079_irnt	0.0159	0.0416	0.3832	0.7016	0.1338	0.0055	1.0668	0.0154	0.0089	0.0068
QSM_Right_amygdala	4079_irnt	0.0183	0.0709	0.2575	0.7968	0.1338	0.0055	1.0668	0.0154	0.0086	0.0061
QSM_WMH	1239	-0.1394	0.0551	-2.5301	0.0114	0.0533	0.0029	1.0151	0.0104	0.0003	0.0064
QSM_Right_pallidum	30760_irnt	-0.1317	0.0348	-3.7809	0.0002	0.1916	0.0161	1.2754	0.0922	0.0053	0.007
QSM_Right_amygdala	100270	0.0473	0.1747	0.2708	0.7866	0.0537	0.0103	0.998	0.0067	0.003	0.0046
QSM_Right_SN	6150_3	0.0136	0.0999	0.1367	0.8913	0.004	0.0012	1.0062	0.0062	0.0002	0.0047
QSM_Right_amygdala	30870_irnt	-0.0065	0.0644	-0.1007	0.9198	0.1746	0.0211	1.1452	0.0629	0.0079	0.0063
T2_WMH	21001_irnt	0.0156	0.0348	0.448	0.6542	0.2465	0.0089	1.0641	0.0187	-0.0163	0.0069
QSM_Left_pallidum	2443	0.1462	0.0402	3.6401	0.0003	0.0438	0.0027	1.0419	0.0106	-0.0122	0.0054
QSM_Right_amygdala	4080_irnt	0.0549	0.0647	0.8495	0.3956	0.1446	0.0058	1.0684	0.0162	0.012	0.0064
QSM_Left_caudate	4080_irnt	0.0162	0.04	0.4055	0.6851	0.1446	0.0058	1.0684	0.0162	0.0114	0.0071
volume	6150_4	0.2149	0.0708	3.0369	0.0024	0.1203	0.0051	1.0668	0.0173	0.0102	0.007
QSM_Left_putamen	21001_irnt	0.0838	0.0245	3.4264	0.0006	0.2465	0.0089	1.0641	0.0187	-0.0064	0.0072
lesion	6150_3	0.2685	0.2286	1.1746	0.2401	0.004	0.0012	1.0061	0.0062	0.001	0.0043
QSM_WMH	2443	-0.0848	0.0549	-1.5451	0.1223	0.0438	0.0027	1.0419	0.0106	0.0024	0.0056
QSM_Right_amygdala	30780_irnt	-0.091	0.073	-1.247	0.2124	0.0801	0.0183	1.1608	0.1173	0.0137	0.0055
QSM_Left_putamen	104910	0.0522	0.186	0.2807	0.7789	0.0081	0.0089	0.9997	0.0066	-0.0018	0.0047
QSM_Right_caudate	30780_irnt	-0.0231	0.0357	-0.6472	0.5175	0.0801	0.0183	1.1608	0.1173	0.0069	0.0053
QSM_Right_pallidum	6150_4	-0.0086	0.0359	-0.2396	0.8107	0.1202	0.0051	1.0669	0.0173	0.0024	0.0063
QSM_Left_SN	2443	0.0956	0.0375	2.5492	0.0108	0.0438	0.0027	1.0419	0.0106	6.4315e-05	0.0048
QSM_Right_SN	30740_irnt	0.0356	0.036	0.9879	0.3232	0.0743	0.0095	1.049	0.0192	0.0081	0.0059
QSM_Right_pallidum	21001_irnt	0.066	0.0299	2.2097	0.0271	0.2465	0.0089	1.0641	0.0187	0.0145	0.0069
QSM_Right_pallidum	1239	-0.0073	0.046	-0.1586	0.874	0.0533	0.0029	1.0151	0.0104	0.011	0.0065
QSM_Left_pallidum	104910	-0.4235	0.3398	-1.2465	0.2126	0.0081	0.0089	0.9997	0.0066	0.014	0.0047
QSM_Right_amygdala	30760_irnt	-0.0611	0.0716	-0.8526	0.3939	0.1916	0.0161	1.2754	0.0922	0.012	0.0069
QSM_Left_caudate	6150_3	-0.0051	0.0949	-0.0536	0.9573	0.004	0.0012	1.0062	0.0062	0.0047	0.0044
QSM_Left_caudate	30740_irnt	0.119	0.0405	2.9399	0.0033	0.0743	0.0095	1.049	0.0192	0.0099	0.0056
QSM_Right_caudate	21001_irnt	0.1152	0.0272	4.2314	2.3221e-05	0.2465	0.0089	1.0641	0.0187	0.0086	0.0071
volume	4079_irnt	0.097	0.0755	1.2839	0.1992	0.1338	0.0055	1.0669	0.0153	0.0147	0.0068
QSM_Left_putamen	30760_irnt	-0.1001	0.0374	-2.6748	0.0075	0.1916	0.0161	1.2754	0.0922	0.0157	0.0076
QSM_Left_SN	6150_4	-0.041	0.0336	-1.2184	0.2231	0.1202	0.0051	1.0669	0.0173	0.0081	0.0065
QSM_Right_pallidum	4080_irnt	-0.0459	0.0373	-1.2289	0.2191	0.1446	0.0058	1.0684	0.0162	0.0089	0.0067
QSM_Left_caudate	1160	-0.0103	0.0378	-0.272	0.7856	0.0716	0.0033	1.0144	0.0094	-0.0008	0.0055
QSM_Right_SN	1239	0.0507	0.0429	1.1819	0.2373	0.0533	0.0029	1.0151	0.0104	0.0165	0.0065
QSM_Left_caudate	1239	0.0727	0.042	1.7313	0.0834	0.0533	0.0029	1.0151	0.0104	0.0117	0.0066
QSM_Right_amygdala	104910	0.2901	0.422	0.6874	0.4919	0.0081	0.0089	0.9997	0.0066	-0.0006	0.0043
QSM_Left_SN	30780_irnt	0.0563	0.0362	1.5563	0.1196	0.0801	0.0183	1.1608	0.1173	-0.0043	0.006
lesion	2443	0.0583	0.0799	0.729	0.466	0.0438	0.0027	1.0416	0.0106	-0.0035	0.005
QSM_Right_caudate	30760_irnt	-0.1243	0.0401	-3.1037	0.0019	0.1916	0.0161	1.2754	0.0922	0.0068	0.0069
QSM_Left_SN	1558	0.0539	0.0335	1.6068	0.1081	0.0818	0.0038	1.0404	0.0109	-0.0079	0.0059
T2_WMH	4080_irnt	0.0817	0.0431	1.8929	0.0584	0.1446	0.0058	1.0684	0.0162	0.0198	0.0065
QSM_Left_amygdala	4080_irnt	0.0261	0.0813	0.3215	0.7479	0.1446	0.0058	1.0684	0.0162	0.0084	0.0072
QSM_Left_amygdala	1239	-0.0079	0.0957	-0.0825	0.9343	0.0533	0.0029	1.0151	0.0104	0.0054	0.0065
T2_WMH	104910	-0.1217	0.2734	-0.4454	0.6561	0.0081	0.0089	0.9997	0.0066	0.0076	0.0049
QSM_Right_amygdala	6150_3	0.0878	0.2271	0.3866	0.6991	0.004	0.0012	1.0062	0.0062	-0.0059	0.0046
QSM_Left_pallidum	6150_4	-0.0028	0.0349	-0.0799	0.9363	0.1202	0.0051	1.0669	0.0173	0.0016	0.0063
QSM_Right_putamen	6150_4	0.0169	0.0304	0.557	0.5776	0.1202	0.0051	1.0669	0.0173	0.0067	0.0065
QSM_Right_caudate	2443	0.1519	0.0404	3.7609	0.0002	0.0438	0.0027	1.0419	0.0106	-0.001	0.0053
volume	21001_irnt	0.0525	0.0589	0.8902	0.3734	0.2464	0.0089	1.0643	0.0187	-0.0112	0.0071
QSM_Left_pallidum	6150_3	0.0782	0.0999	0.7824	0.434	0.004	0.0012	1.0062	0.0062	-0.0028	0.0042
QSM_Right_pallidum	30870_irnt	0.029	0.0286	1.0138	0.3107	0.1746	0.0211	1.1452	0.0629	0.0209	0.006
T2_WMH	1160	0.0595	0.0496	1.2009	0.2298	0.0716	0.0033	1.0144	0.0094	-0.0073	0.0059
QSM_Right_putamen	30780_irnt	-0.0108	0.0346	-0.3108	0.7559	0.0801	0.0183	1.1608	0.1173	0.0026	0.0058
QSM_Right_putamen	30760_irnt	-0.0905	0.0376	-2.4076	0.0161	0.1916	0.0161	1.2754	0.0922	0.015	0.0075
volume	100270	-0.0439	0.1549	-0.2832	0.7771	0.0538	0.0104	0.9979	0.0067	-0.001	0.0045
lesion	104910	0.1714	0.4328	0.396	0.6921	0.0081	0.0089	0.9997	0.0067	0.0031	0.0048
QSM_Right_putamen	100270	0.0057	0.0767	0.0748	0.9404	0.0537	0.0103	0.998	0.0067	0.0051	0.0046
QSM_Right_amygdala	1558	0.0259	0.0699	0.37	0.7114	0.0818	0.0038	1.0404	0.0109	-0.0091	0.0051
QSM_Left_caudate	30870_irnt	0.0455	0.0431	1.0564	0.2908	0.1746	0.0211	1.1452	0.0629	0.0196	0.007
T2_WMH	100270	-0.2414	0.0996	-2.4238	0.0154	0.0537	0.0103	0.998	0.0067	0.0052	0.0045
QSM_Left_caudate	30780_irnt	-0.0121	0.0365	-0.3312	0.7405	0.0801	0.0183	1.1608	0.1173	0.0027	0.0058
QSM_Right_caudate	30740_irnt	0.1038	0.0384	2.7051	0.0068	0.0743	0.0095	1.049	0.0192	0.0085	0.0057
QSM_Left_caudate	6150_4	0.0559	0.0423	1.3234	0.1857	0.1202	0.0051	1.0669	0.0173	0.0021	0.0068
QSM_Left_amygdala	30760_irnt	0.0516	0.0657	0.7864	0.4317	0.1916	0.0161	1.2754	0.0922	0.0034	0.0061
QSM_Right_SN	30760_irnt	-0.1196	0.0328	-3.6509	0.0003	0.1916	0.0161	1.2754	0.0922	0.0088	0.0072
QSM_Left_caudate	2443	0.19	0.0417	4.5582	5.1595e-06	0.0438	0.0027	1.0419	0.0106	-0.0046	0.0054
QSM_Left_pallidum	1558	0.0604	0.035	1.7236	0.0848	0.0818	0.0038	1.0404	0.0109	0.0079	0.0059
lesion	30740_irnt	0.0459	0.0704	0.6515	0.5147	0.0744	0.0095	1.0492	0.0194	0.0032	0.0051
QSM_Left_putamen	6150_3	0.0187	0.0931	0.2012	0.8406	0.004	0.0012	1.0062	0.0062	0.005	0.005
QSM_Left_SN	30870_irnt	0.0567	0.0293	1.9349	0.053	0.1746	0.0211	1.1452	0.0629	0.013	0.0064
QSM_Left_putamen	100270	0.0085	0.0797	0.1072	0.9146	0.0537	0.0103	0.998	0.0067	0.0061	0.0047
lesion	1558	0.1232	0.0683	1.8037	0.0713	0.0817	0.0038	1.0405	0.0108	-0.0088	0.0054
QSM_Right_amygdala	2443	0.2233	0.0911	2.4513	0.0142	0.0438	0.0027	1.0419	0.0106	-0.0079	0.0053
QSM_Left_putamen	1160	-0.0279	0.0317	-0.8804	0.3787	0.0716	0.0033	1.0144	0.0094	0.0044	0.0055
QSM_Right_amygdala	6150_4	0.0772	0.0705	1.0955	0.2733	0.1202	0.0051	1.0669	0.0173	0.005	0.0056
lesion	4079_irnt	0.1547	0.0722	2.1417	0.0322	0.1338	0.0055	1.0669	0.0153	0.0076	0.0067
QSM_Left_caudate	104910	-0.0707	0.2188	-0.323	0.7467	0.0081	0.0089	0.9997	0.0066	0.0002	0.005
QSM_WMH	4079_irnt	0.0112	0.0391	0.2876	0.7737	0.1338	0.0055	1.0668	0.0154	-0.0087	0.0062
QSM_Left_putamen	6150_4	0.029	0.0322	0.9005	0.3679	0.1202	0.0051	1.0669	0.0173	0.0057	0.007
QSM_Right_SN	21001_irnt	0.0879	0.0248	3.5431	0.0004	0.2465	0.0089	1.0641	0.0187	0.0157	0.0066
QSM_Right_putamen	1239	0.0678	0.0348	1.9476	0.0515	0.0533	0.0029	1.0151	0.0104	0.0168	0.0064
volume	1239	0.2101	0.0876	2.3979	0.0165	0.0533	0.0029	1.0152	0.0105	-0.0052	0.0063
QSM_WMH	6150_3	-0.0821	0.1136	-0.7229	0.4698	0.004	0.0012	1.0062	0.0062	0.0004	0.0041
QSM_Right_caudate	4079_irnt	0.0116	0.0392	0.297	0.7665	0.1338	0.0055	1.0668	0.0154	0.0051	0.0067
QSM_Right_caudate	104910	-0.0708	0.2251	-0.3147	0.753	0.0081	0.0089	0.9997	0.0066	0.0006	0.0048
QSM_Right_amygdala	21001_irnt	0.0379	0.0547	0.692	0.4889	0.2465	0.0089	1.0641	0.0187	-0.0012	0.0064
T2_WMH	4079_irnt	0.0836	0.0438	1.9104	0.0561	0.1338	0.0055	1.0668	0.0154	0.007	0.0063
QSM_Left_putamen	30870_irnt	0.0396	0.0394	1.0051	0.3148	0.1746	0.0211	1.1452	0.0629	0.0064	0.0073
QSM_Left_amygdala	30870_irnt	0.0278	0.079	0.3521	0.7247	0.1746	0.0211	1.1452	0.0629	-0.0035	0.0072
QSM_Left_amygdala	104910	0.302	0.4484	0.6736	0.5006	0.0081	0.0089	0.9997	0.0066	-0.0018	0.0045
QSM_Left_amygdala	100270	-0.1596	0.1623	-0.9835	0.3254	0.0537	0.0103	0.998	0.0067	0.0047	0.0049
QSM_Right_pallidum	30740_irnt	0.0323	0.0383	0.8448	0.3982	0.0743	0.0095	1.049	0.0192	0.0009	0.0055
QSM_Left_SN	30760_irnt	-0.1183	0.0339	-3.4868	0.0005	0.1916	0.0161	1.2754	0.0922	0.0103	0.0072
QSM_Left_SN	6150_3	0.0305	0.0968	0.3151	0.7527	0.004	0.0012	1.0062	0.0062	-0.0002	0.0046
QSM_WMH	100270	0.0188	0.0866	0.217	0.8282	0.0537	0.0103	0.998	0.0067	0.0015	0.0042
QSM_Left_putamen	30780_irnt	-0.0081	0.0325	-0.2484	0.8038	0.0801	0.0183	1.1608	0.1173	-0.0021	0.0057
QSM_Left_SN	1239	0.0581	0.0415	1.4014	0.1611	0.0533	0.0029	1.0151	0.0104	0.0148	0.0064
QSM_Left_pallidum	4080_irnt	-0.0374	0.0357	-1.0474	0.2949	0.1446	0.0058	1.0684	0.0162	0.009	0.0064
QSM_Left_SN	100270	-0.0508	0.083	-0.6116	0.5408	0.0537	0.0103	0.998	0.0067	0.006	0.0051
QSM_Right_pallidum	1160	0.014	0.0336	0.416	0.6774	0.0716	0.0033	1.0144	0.0094	-0.0012	0.005
T2_WMH	6150_4	0.1277	0.0454	2.8119	0.0049	0.1202	0.0051	1.0669	0.0173	0.0091	0.0064
QSM_Right_pallidum	104910	-0.3811	0.3089	-1.2339	0.2172	0.0081	0.0089	0.9997	0.0066	0.0105	0.0045
QSM_Left_SN	104910	-0.324	0.2756	-1.1757	0.2397	0.0081	0.0089	0.9997	0.0066	0.0074	0.0046
volume	1558	0.1022	0.0664	1.5379	0.1241	0.0817	0.0038	1.0405	0.0108	-0.0046	0.0054
QSM_WMH	30760_irnt	-0.0147	0.0375	-0.3916	0.6954	0.1916	0.0161	1.2754	0.0922	-0.0071	0.0068
T2_WMH	1558	0.0956	0.0396	2.4133	0.0158	0.0818	0.0038	1.0404	0.0109	-6.1819e-05	0.0054
QSM_Left_amygdala	2443	0.0827	0.0892	0.9272	0.3538	0.0438	0.0027	1.0419	0.0106	-0.0044	0.0054
QSM_Right_pallidum	1558	0.0661	0.0332	1.9908	0.0465	0.0818	0.0038	1.0404	0.0109	0.0024	0.0056
QSM_Left_caudate	21001_irnt	0.1262	0.0304	4.1508	3.3139e-05	0.2465	0.0089	1.0641	0.0187	0.0053	0.0072
QSM_Left_putamen	1239	0.0781	0.0344	2.2717	0.0231	0.0533	0.0029	1.0151	0.0104	0.0164	0.0063
T2_WMH	30760_irnt	0.0648	0.0374	1.7348	0.0828	0.1916	0.0161	1.2754	0.0922	0.0062	0.0067
QSM_Left_putamen	2443	0.1094	0.0382	2.8668	0.0041	0.0438	0.0027	1.0419	0.0106	-0.0002	0.005
QSM_Right_pallidum	30780_irnt	-0.025	0.0477	-0.5242	0.6002	0.0801	0.0183	1.1608	0.1173	0.0126	0.0073
QSM_Right_putamen	4079_irnt	-0.0126	0.0293	-0.4301	0.6671	0.1338	0.0055	1.0668	0.0154	0.0118	0.0067
QSM_Right_caudate	30870_irnt	0.055	0.0417	1.3185	0.1873	0.1746	0.0211	1.1452	0.0629	0.0189	0.0066
QSM_WMH	1160	-0.0692	0.0481	-1.4391	0.1501	0.0716	0.0033	1.0144	0.0094	0.0185	0.0056
QSM_WMH	30740_irnt	0.0379	0.0417	0.9096	0.363	0.0743	0.0095	1.049	0.0192	-0.0045	0.0055
QSM_Left_putamen	30740_irnt	0.0885	0.0378	2.3401	0.0193	0.0743	0.0095	1.049	0.0192	0.0083	0.0059
QSM_Right_putamen	1558	0.0472	0.0383	1.2337	0.2173	0.0818	0.0038	1.0404	0.0109	-0.0227	0.0064
QSM_WMH	6150_4	-0.0731	0.0406	-1.7992	0.072	0.1202	0.0051	1.0669	0.0173	-0.0128	0.0058
QSM_Left_caudate	1558	0.0745	0.0423	1.7616	0.0781	0.0818	0.0038	1.0404	0.0109	-0.0172	0.0062
T2_WMH	30740_irnt	-0.0272	0.0437	-0.6228	0.5334	0.0743	0.0095	1.049	0.0192	0.0001	0.0057
QSM_Right_SN	2443	0.1128	0.0378	2.9872	0.0028	0.0438	0.0027	1.0419	0.0106	-0.0023	0.005
lesion	1239	0.129	0.0919	1.4041	0.1603	0.0533	0.0029	1.0152	0.0105	-0.0032	0.0065
QSM_Right_SN	104910	-0.4655	0.3338	-1.3943	0.1632	0.0081	0.0089	0.9997	0.0066	0.0068	0.0047
QSM_Left_amygdala	30780_irnt	-0.1069	0.08	-1.3368	0.1813	0.0801	0.0183	1.1608	0.1173	0.0045	0.0056
QSM_Left_putamen	1558	0.0411	0.0381	1.0774	0.2813	0.0818	0.0038	1.0404	0.0109	-0.0243	0.0062
volume	104910	0.3767	0.4365	0.8629	0.3882	0.0081	0.0089	0.9997	0.0067	-0.0027	0.0047
QSM_Right_caudate	4080_irnt	-0.0042	0.0383	-0.1089	0.9133	0.1446	0.0058	1.0684	0.0162	0.0101	0.007
T2_WMH	6150_3	0.123	0.1427	0.8618	0.3888	0.004	0.0012	1.0062	0.0062	0.0049	0.0051
volume	30760_irnt	0.0903	0.0518	1.7426	0.0814	0.1915	0.0161	1.276	0.092	-0.0122	0.0067
QSM_Left_putamen	4080_irnt	-0.0018	0.0309	-0.0568	0.9547	0.1446	0.0058	1.0684	0.0162	0.0103	0.0073
QSM_Left_SN	1160	-0.0016	0.0339	-0.0481	0.9616	0.0716	0.0033	1.0144	0.0094	-0.0039	0.0052
QSM_Right_pallidum	2443	0.1371	0.0424	3.2349	0.0012	0.0438	0.0027	1.0419	0.0106	-0.0121	0.0055
volume	2443	0.115	0.077	1.4936	0.1353	0.0438	0.0027	1.0416	0.0106	-0.0039	0.0052
QSM_Right_SN	30870_irnt	0.0485	0.0266	1.8279	0.0676	0.1746	0.0211	1.1452	0.0629	0.0145	0.0059
QSM_Right_putamen	30870_irnt	0.0415	0.0405	1.0238	0.3059	0.1746	0.0211	1.1452	0.0629	0.0072	0.0074
volume	30740_irnt	0.0093	0.0669	0.1384	0.8899	0.0744	0.0095	1.0492	0.0194	0.0066	0.0049
volume	4080_irnt	0.0764	0.0711	1.0754	0.2822	0.1446	0.0058	1.0686	0.0162	0.0229	0.0063
QSM_Right_SN	4079_irnt	-0.0744	0.0319	-2.3354	0.0195	0.1338	0.0055	1.0668	0.0154	0.0121	0.0062
QSM_Right_SN	4080_irnt	-0.099	0.0341	-2.9035	0.0037	0.1446	0.0058	1.0684	0.0162	0.0131	0.0069
QSM_Left_caudate	100270	0.0202	0.0883	0.2291	0.8188	0.0537	0.0103	0.998	0.0067	0.0037	0.0051
QSM_Left_pallidum	30760_irnt	-0.143	0.0329	-4.3475	1.3772e-05	0.1916	0.0161	1.2754	0.0922	0.0026	0.0072
QSM_Right_pallidum	6150_3	0.1111	0.107	1.0387	0.2989	0.004	0.0012	1.0062	0.0062	-0.0055	0.0048
QSM_Left_SN	4080_irnt	-0.081	0.0342	-2.3672	0.0179	0.1446	0.0058	1.0684	0.0162	0.0122	0.0065
QSM_Right_caudate	6150_3	-0.1018	0.1034	-0.9846	0.3248	0.004	0.0012	1.0062	0.0062	0.0085	0.0047
volume_big40	1558	0.0535	0.0341	1.5694	0.1165	0.0817	0.0038	1.0405	0.0109	-0.0054	0.0057
volume_big40	100270	-0.0272	0.0784	-0.3468	0.7288	0.0537	0.0103	0.9979	0.0067	-0.004	0.0049
volume_big40	6150_3	0.3427	0.114	3.0071	0.0026	0.004	0.0012	1.0061	0.0062	0.0024	0.005
